prob_slot_h,prob_slot_s
0.009559566459995606,0.002009599283788643
0.057800109104785315,0.05606543929792521
0.11158812907005011,0.208536699296556
0.13021771438655486,0.1949693104557359
0.10671082689359064,0.1110188713702039
0.09934750559876727,0.04338037610323276
0.0981888407990547,0.030098484979791264
0.06495574266307208,0.09156282741523501
0.07865453493331476,0.12849144978706342
0.07861685637652197,0.07969591425291969
0.0707839956384732,0.0373238397010837
0.053434353252868,0.01093803838348046
0.02936119454885106,0.004926165556474341
0.01078063027410046,0.0009829841165097503
